todito,1
Bien,1
Dios,1
bendiga,1
siempre,1
Doctor,1
Eduardo,1
Mendoza,1
Palma,1
Payaso,1
Asi,1
estan,1
solo,1
llegar,1
ala,1
silla,1
grande,1
despues,1
olvidan,1
hdp,1
Ridiculo,1
todito,1
Bien,1
Dios,1
bendiga,1
siempre,1
Doctor,1
Eduardo,1
Mendoza,1
Palma,1
Payaso,1
Asi,1
estan,1
solo,1
llegar,1
ala,1
silla,1
grande,1
despues,1
olvidan,1
hdp,1
Ridiculo,1
todito,1
Bien,1
Dios,1
bendiga,1
siempre,1
Doctor,1
Eduardo,1
Mendoza,1
Palma,1
Payaso,1
Asi,1
estan,1
solo,1
llegar,1
ala,1
silla,1
grande,1
despues,1
olvidan,1
hdp,1
Ridiculo,1
todito,1
Bien,1
Dios,1
bendiga,1
siempre,1
Doctor,1
Eduardo,1
Mendoza,1
Palma,1
Payaso,1
Asi,1
estan,1
solo,1
llegar,1
ala,1
silla,1
grande,1
despues,1
olvidan,1
hdp,1
Ridiculo,1
todito,1
Bien,1
Dios,1
bendiga,1
siempre,1
Doctor,1
Eduardo,1
Mendoza,1
Palma,1
Payaso,1
Asi,2
estan,1
solo,3
llegar,1
ala,1
silla,1
grande,2
despues,1
olvidan,1
hdp,1
Ridiculo,1
Hervas,1
exelente,1
persona,1
conocimiento,1
capacidad,2
gobernar,1
mayoria,1
ve,2
lista,1
partido,1
puede,1
sacar,1
pais,1
adelante,1
Solo,1
sola,1
vuelta,1
Yaku,1
Dale,1
carmita,3
si,3
puedes,1
mujer,1
lucha,1
vamos,1
mando,1
abrazo,1
Carmen,1
Tiupul,1
futura,1
Asambleista,1
mismo,1
dicen,1
gente,3
joven,1
nueva,2
van,1
frente,2
alto,1
mas,1
llegan,1
poder,1
pesa,1
bajan,1
cabeza,1
cambian,1
discurso,1
prevalecen,1
intereses,1
personales,1
demostrado,1
Asamblea,1
desaparecida,1
puro,1
negociado,1
votos,1
mejor,2
postor,2
va,1
ser,1
consenso,1
ponen,1
convienen,1
ustedes,2
voto,2
Opurtunistas,1
venden,1
Pachakusqui,1
Mandan,1
pichisacas,1
Corruptos,1
Osea,1
perdio,1
prefectura,1
busquen,1
voten,1
DESPUES,1
RENUNCIAR,1
LELO,1
PANA,1
ALCALDE,1
CHIMBORAZO,1
MAS,1
todito,1
Bien,1
Dios,1
bendiga,1
siempre,1
Doctor,1
Eduardo,1
Mendoza,1
Palma,1
Payaso,1
Asi,2
estan,1
solo,3
llegar,1
ala,1
silla,1
grande,2
despues,1
olvidan,1
hdp,1
Ridiculo,1
Hervas,1
exelente,1
persona,1
conocimiento,1
capacidad,2
gobernar,1
mayoria,1
ve,2
lista,1
partido,1
puede,1
sacar,1
pais,1
adelante,1
Solo,1
sola,1
vuelta,1
Yaku,1
Dale,1
carmita,3
si,3
puedes,1
mujer,1
lucha,1
vamos,1
mando,1
abrazo,1
Carmen,1
Tiupul,1
futura,1
Asambleista,1
mismo,1
dicen,1
gente,3
joven,1
nueva,2
van,1
frente,2
alto,1
mas,1
llegan,1
poder,1
pesa,1
bajan,1
cabeza,1
cambian,1
discurso,1
prevalecen,1
intereses,1
personales,1
demostrado,1
Asamblea,1
desaparecida,1
puro,1
negociado,1
votos,1
mejor,2
postor,2
va,1
ser,1
consenso,1
ponen,1
convienen,1
ustedes,2
voto,2
Opurtunistas,1
venden,1
Pachakusqui,1
Mandan,1
pichisacas,1
Corruptos,1
Osea,1
perdio,1
prefectura,1
busquen,1
voten,1
DESPUES,1
RENUNCIAR,1
LELO,1
PANA,1
ALCALDE,1
CHIMBORAZO,1
MAS,1
